I,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh,gene,sample
0.17530585250806,0.0,0.00027415456,0.0,0.001,0.00021522390636871373,0.0,0.0,0.0010833333333333333,CD27,HCC22-088-P2-S1
0.13382159304624927,2.220446049250313e-16,0.00027415456,0.0,0.001,0.0001832443647737397,2.749123680024197e-16,0.0,0.0010833333333333333,PECAM1,HCC22-088-P2-S1
0.06819874844001465,1.676581722021009e-05,0.00027415456,5.86447723716077e-09,0.001,0.00013986479484447086,1.981414762388465e-05,6.930745825735456e-09,0.0010833333333333333,CXCR5,HCC22-088-P2-S1
0.062674596067127,6.825163669843537e-05,0.00027415456,1.2260911648187545e-06,0.001,0.00017618006841187264,7.715402409388346e-05,1.3282654285536506e-06,0.0010833333333333333,CD8A,HCC22-088-P2-S1
0.05533574207211933,0.00037422329810066213,0.00027415456,7.20331929993101e-07,0.001,0.00013401236947223382,0.00040540857294238397,8.142882686878534e-07,0.0010833333333333333,PAX5,HCC22-088-P2-S1
0.028714132748981547,0.03891892167439903,0.00027415456,0.01451356155521133,0.016,0.00017655168257825113,0.040475678541374994,0.015094104017419781,0.01664,FCGR3A,HCC22-088-P2-S1
-0.00735803879650837,0.33899275537279205,0.00027415456,0.2570563396225204,0.265,0.00014507625953716976,0.33899275537279205,0.2570563396225204,0.265,CD274,HCC22-088-P2-S1
0.47724499851116897,0.0,0.0001122002,0.0,0.001,0.00013334346220560654,0.0,0.0,0.001,KRT5,HCC22-088-P2-S2
0.3943061921064883,0.0,0.0001122002,0.0,0.001,0.00010628741709313796,0.0,0.0,0.001,CD19,HCC22-088-P2-S2
0.3782268250387938,0.0,0.0001122002,0.0,0.001,0.00011359014169771468,0.0,0.0,0.001,ITGAM,HCC22-088-P2-S2
0.3662871527329592,0.0,0.0001122002,0.0,0.001,0.00010200107717580968,0.0,0.0,0.001,CD4,HCC22-088-P2-S2
0.355388018196811,0.0,0.0001122002,0.0,0.001,0.00010968551386930158,0.0,0.0,0.001,ACTA2,HCC22-088-P2-S2
0.34167732894221964,0.0,0.0001122002,0.0,0.001,0.00010746749826917091,0.0,0.0,0.001,SDC1,HCC22-088-P2-S2
0.340154873042575,0.0,0.0001122002,0.0,0.001,0.0001118547072904243,0.0,0.0,0.001,CD14,HCC22-088-P2-S2
0.29946763729206255,0.0,0.0001122002,0.0,0.001,8.959713899791931e-05,0.0,0.0,0.001,CD68,HCC22-088-P2-S2
0.2985346016188107,0.0,0.0001122002,0.0,0.001,9.45785394767225e-05,0.0,0.0,0.001,BCL2,HCC22-088-P2-S2
0.29749300326790246,0.0,0.0001122002,0.0,0.001,0.00010518893992364407,0.0,0.0,0.001,VIM,HCC22-088-P2-S2
0.2933201557563653,0.0,0.0001122002,0.0,0.001,0.0001017423487107018,0.0,0.0,0.001,CD163,HCC22-088-P2-S2
0.2592285339989959,0.0,0.0001122002,0.0,0.001,9.42221558763321e-05,0.0,0.0,0.001,EPCAM,HCC22-088-P2-S2
0.2427486803581186,0.0,0.0001122002,0.0,0.001,9.961096148593356e-05,0.0,0.0,0.001,CCR7,HCC22-088-P2-S2
0.24082171120677917,0.0,0.0001122002,0.0,0.001,8.305163665847594e-05,0.0,0.0,0.001,PCNA,HCC22-088-P2-S2
0.23063676005199907,0.0,0.0001122002,0.0,0.001,8.586190435393104e-05,0.0,0.0,0.001,ITGAX,HCC22-088-P2-S2
0.23020010868005225,0.0,0.0001122002,0.0,0.001,8.950147989594649e-05,0.0,0.0,0.001,CR2,HCC22-088-P2-S2
0.229081014088358,0.0,0.0001122002,0.0,0.001,9.782075856317357e-05,0.0,0.0,0.001,PDCD1,HCC22-088-P2-S2
0.2187137221210259,0.0,0.0001122002,0.0,0.001,8.859986059458698e-05,0.0,0.0,0.001,CD3E,HCC22-088-P2-S2
0.21105691128083656,0.0,0.0001122002,0.0,0.001,8.272088140707948e-05,0.0,0.0,0.001,CD27,HCC22-088-P2-S2
0.19349090985024112,0.0,0.0001122002,0.0,0.001,7.843281643956984e-05,0.0,0.0,0.001,PECAM1,HCC22-088-P2-S2
0.19041378109092819,0.0,0.0001122002,0.0,0.001,8.617330609890625e-05,0.0,0.0,0.001,MS4A1,HCC22-088-P2-S2
0.10592533602631767,0.0,0.0001122002,0.0,0.001,7.64776825508645e-05,0.0,0.0,0.001,CD8A,HCC22-088-P2-S2
0.09966013280091261,0.0,0.0001122002,0.0,0.001,6.967924982232034e-05,0.0,0.0,0.001,CXCR5,HCC22-088-P2-S2
0.08115587164819636,7.882583474838611e-15,0.0001122002,0.0,0.001,6.617348013976575e-05,8.539465431075161e-15,0.0,0.001,CD274,HCC22-088-P2-S2
0.07190702921536377,4.9324988538046455e-12,0.0001122002,0.0,0.001,7.119463904756185e-05,5.129798807956831e-12,0.0,0.001,PAX5,HCC22-088-P2-S2
0.04800416779365153,2.658618186046624e-06,0.0001122002,2.099077467399013e-09,0.001,6.565694228897091e-05,2.658618186046624e-06,2.099077467399013e-09,0.001,FCGR3A,HCC22-088-P2-S2
0.563464341665403,0.0,0.0013170234,0.0,0.001,0.0014912223047744734,0.0,0.0,0.0011304347826086958,CD163,HCC22-088-P3-S1_A
0.5624598676669723,0.0,0.0013170234,0.0,0.001,0.0014161536285434186,0.0,0.0,0.0011304347826086958,CD4,HCC22-088-P3-S1_A
0.46429627366543175,0.0,0.0013170234,0.0,0.001,0.0013903025679722675,0.0,0.0,0.0011304347826086958,CD14,HCC22-088-P3-S1_A
0.42002770205757456,0.0,0.0013170234,0.0,0.001,0.0014518681950688016,0.0,0.0,0.0011304347826086958,PDCD1,HCC22-088-P3-S1_A
0.3795221879500864,0.0,0.0013170234,0.0,0.001,0.001139688509742234,0.0,0.0,0.0011304347826086958,CCR7,HCC22-088-P3-S1_A
0.3785202952472738,0.0,0.0013170234,0.0,0.001,0.001123329438528424,0.0,0.0,0.0011304347826086958,MS4A1,HCC22-088-P3-S1_A
0.3774932994819299,0.0,0.0013170234,0.0,0.001,0.0012001671179334178,0.0,0.0,0.0011304347826086958,EPCAM,HCC22-088-P3-S1_A
0.36513880277819655,0.0,0.0013170234,0.0,0.001,0.0009181864023677671,0.0,0.0,0.0011304347826086958,CR2,HCC22-088-P3-S1_A
0.3592166025483965,0.0,0.0013170234,0.0,0.001,0.001369014469226989,0.0,0.0,0.0011304347826086958,BCL2,HCC22-088-P3-S1_A
0.35408711110782914,0.0,0.0013170234,0.0,0.001,0.0011004103334858954,0.0,0.0,0.0011304347826086958,KRT5,HCC22-088-P3-S1_A
0.3507418865098593,0.0,0.0013170234,0.0,0.001,0.0011037079748000254,0.0,0.0,0.0011304347826086958,PECAM1,HCC22-088-P3-S1_A
0.32891794394042,0.0,0.0013170234,0.0,0.001,0.0011559318273587113,0.0,0.0,0.0011304347826086958,ITGAM,HCC22-088-P3-S1_A
0.3127772516792772,0.0,0.0013170234,0.0,0.001,0.0012745687156624026,0.0,0.0,0.0011304347826086958,CD27,HCC22-088-P3-S1_A
0.3093424241439066,0.0,0.0013170234,0.0,0.001,0.0010704337020010332,0.0,0.0,0.0011304347826086958,CD3E,HCC22-088-P3-S1_A
0.27837120134726995,5.10702591327572e-15,0.0013170234,1.2212453270876722e-15,0.001,0.0012303141623320928,8.852178249677915e-15,1.8677869708399693e-15,0.0011304347826086958,VIM,HCC22-088-P3-S1_A
0.2715700704189167,2.1871393585115584e-14,0.0013170234,1.1102230246251565e-16,0.001,0.0010789511675105862,3.5541014575812824e-14,1.8041124150158794e-16,0.0011304347826086958,ITGAX,HCC22-088-P3-S1_A
0.2711384521259681,2.398081733190338e-14,0.0013170234,0.0,0.001,0.0010546108093459892,3.667654415467576e-14,0.0,0.0011304347826086958,CD8A,HCC22-088-P3-S1_A
0.2615481120154491,1.7563728249569976e-13,0.0013170234,1.6653345369377348e-15,0.001,0.0011114440402778354,2.53698296938233e-13,2.4054832200211726e-15,0.0011304347826086958,SDC1,HCC22-088-P3-S1_A
0.25803548787030905,3.581579477440755e-13,0.0013170234,2.4202861936828413e-14,0.001,0.0011640229713502307,4.901108758603139e-13,3.1463720517876934e-14,0.0011304347826086958,CXCR5,HCC22-088-P3-S1_A
0.24991749545812628,1.7930101847696278e-12,0.0013170234,1.554312234475219e-14,0.001,0.001083744922372065,2.330913240200516e-12,2.126953584018721e-14,0.0011304347826086958,CD19,HCC22-088-P3-S1_A
0.17493232933150218,5.135567564540366e-07,0.0013170234,1.1105527564225781e-07,0.001,0.0011368324947140772,6.358321746573787e-07,1.3124714394085013e-07,0.0011304347826086958,CD68,HCC22-088-P3-S1_A
0.17149412491168098,8.271544256199803e-07,0.0013170234,2.7265868451920028e-09,0.001,0.0008691390920064707,9.775461393690676e-07,3.3757741892853367e-09,0.0011304347826086958,ACTA2,HCC22-088-P3-S1_A
0.1344759166143865,8.110606948363852e-05,0.0013170234,2.7018567411163374e-06,0.001,0.0008677767562611912,9.168512202498268e-05,3.054272837783686e-06,0.0011304347826086958,CD274,HCC22-088-P3-S1_A
0.0810062391262166,0.01077460467487834,0.0013170234,0.003097232805001404,0.005,0.0008883927726877028,0.01167248839778487,0.003355335538751521,0.005416666666666667,PCNA,HCC22-088-P3-S1_A
0.06429024032027497,0.0330600411753601,0.0013170234,0.013500196482023497,0.029,0.0008646488560072641,0.0343824428223745,0.014040204341304437,0.03016,PAX5,HCC22-088-P3-S1_A
