I,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh,protein,sample,feature
0.4374597948698401,0.0,0.00027415456,0.0,0.005,0.00029896779240066697,0.0,0.0,0.005,PCNA-1,HCC22-088-P2-S1,PCNA
0.422989415492357,0.0,0.00027415456,0.0,0.005,0.00024957006992956074,0.0,0.0,0.005,CR2-1,HCC22-088-P2-S1,CR2
0.388467197126768,0.0,0.00027415456,0.0,0.005,0.000264849649404972,0.0,0.0,0.005,EPCAM-1,HCC22-088-P2-S1,EPCAM
0.3805699095837004,0.0,0.00027415456,0.0,0.005,0.0002763190721563073,0.0,0.0,0.005,CD3E-1,HCC22-088-P2-S1,CD3E
0.3733489942225719,0.0,0.00027415456,0.0,0.005,0.00018686543758500085,0.0,0.0,0.005,CD40-1,HCC22-088-P2-S1,CD40
0.3600863669373354,0.0,0.00027415456,0.0,0.005,0.00021309449369258127,0.0,0.0,0.005,CD4-1,HCC22-088-P2-S1,CD4
0.35966029445135805,0.0,0.00027415456,0.0,0.005,0.00023634289277855384,0.0,0.0,0.005,CCR7-1,HCC22-088-P2-S1,CCR7
0.3499875104763286,0.0,0.00027415456,0.0,0.005,0.00022352319502090846,0.0,0.0,0.005,CD27-1,HCC22-088-P2-S1,CD27
0.3156632181575926,0.0,0.00027415456,0.0,0.005,0.00023036332918080697,0.0,0.0,0.005,rat_IgG2a,HCC22-088-P2-S1,rat_IgG2a
0.31113390517686257,0.0,0.00027415456,0.0,0.005,0.00026377692128380886,0.0,0.0,0.005,PDCD1-1,HCC22-088-P2-S1,PDCD1
0.28639662494459805,0.0,0.00027415456,0.0,0.005,0.0002463372208315934,0.0,0.0,0.005,mouse_IgG1k,HCC22-088-P2-S1,mouse_IgG1k
0.27788523030517304,0.0,0.00027415456,0.0,0.005,0.0002177369838268737,0.0,0.0,0.005,PTPRC-1,HCC22-088-P2-S1,PTPRC
0.24351100937487763,0.0,0.00027415456,0.0,0.005,0.00017080199131457355,0.0,0.0,0.005,MS4A1-1,HCC22-088-P2-S1,MS4A1
