sample,gene,r_pearson,r_spearman,n_spots
HCC22-088-P2-S1,CD27,0.013446159614210305,0.02017666132728757,2071
HCC22-088-P2-S1,CXCR5,0.011017285356988236,0.012254645072966811,2071
HCC22-088-P2-S2,CD3E,-0.008887575793404743,-0.01246403330259302,4734
HCC22-088-P2-S2,CD4,0.1472088711140458,0.1645483162074493,4734
HCC22-088-P2-S2,CD8A,0.015219082749235713,0.016080684811255165,4734
HCC22-088-P2-S2,CD68,0.5316846046011205,0.4630485565317286,4734
HCC22-088-P2-S2,CD14,0.14161760933443127,0.15283562421034266,4734
HCC22-088-P2-S2,CD19,-0.018977552426112362,-0.017841840236129603,4734
HCC22-088-P2-S2,MS4A1,0.03365457678609996,0.029159763972238233,4734
HCC22-088-P2-S2,EPCAM,0.2673002442837389,0.26555475799383577,4734
HCC22-088-P2-S2,PECAM1,0.16973655993420106,0.18345533246943366,4734
HCC22-088-P2-S2,VIM,0.27698904984305783,0.5296646552950297,4734
HCC22-088-P2-S2,KRT5,0.15314780898753338,0.1664566954069389,4734
HCC22-088-P2-S2,PCNA,0.10624292598493476,0.12317933944751715,4734
HCC22-088-P2-S2,CD274,0.08900229000511366,0.1064685465138764,4734
HCC22-088-P2-S2,PDCD1,-0.028231123729010175,-0.029256617639528026,4734
HCC22-088-P2-S2,ACTA2,0.20277083023000356,0.1919810876618865,4734
HCC22-088-P2-S2,BCL2,0.12518610459536966,0.12270481127506204,4734
HCC22-088-P2-S2,CD163,0.185167487919712,0.20759956540335578,4734
HCC22-088-P2-S2,CR2,-0.003599229488233088,-0.00472766909631159,4734
HCC22-088-P2-S2,PAX5,-0.011745705475627517,-0.009563151795430052,4734
HCC22-088-P2-S2,SDC1,0.10572037575289905,0.12005572760138307,4734
HCC22-088-P2-S2,FCGR3A,0.09371839791728913,0.1284722884585805,4734
HCC22-088-P2-S2,ITGAX,0.5216995533372245,0.4285602513427498,4734
HCC22-088-P2-S2,ITGAM,-0.01268582312850572,-0.012354128022755146,4734
