sample,patient,treatment,program,moranI
HCC22-088-P6-S1,P6,pre,score_Estrogen_response,0.3917625776480304
HCC22-088-P6-S1,P6,pre,score_EMT,0.26007366107732416
HCC22-088-P6-S1,P6,pre,score_Fibroblast_activation,0.2574583685348837
HCC22-088-P6-S1,P6,pre,score_B_cell_activity,0.17022299732412455
HCC22-088-P6-S1,P6,pre,rna_epithelial_tumour,0.11679683631317313
HCC22-088-P6-S1,P6,pre,score_Angiogenesis,0.08596324686576275
HCC22-088-P6-S1,P6,pre,score_Proliferation,0.06984666939995683
HCC22-088-P6-S1,P6,pre,score_Hypoxia,0.06159498738797897
HCC22-088-P6-S1,P6,pre,score_Myeloid_inflammation,0.03078258517625669
HCC22-088-P6-S1,P6,pre,score_Interferon_response,0.021313507091638487
HCC22-088-P6-S1,P6,pre,rna_T_cells,0.018735821209751945
HCC22-088-P6-S1,P6,pre,score_T_cell_activity,0.003836909237725994
HCC22-088-P6-S1,P6,pre,score_Cytotoxicity,-0.01602793990970258
HCC22-088-P6-S2_D,P6,post,score_Fibroblast_activation,0.586138255285834
HCC22-088-P6-S2_D,P6,post,score_Estrogen_response,0.5681066958012918
HCC22-088-P6-S2_D,P6,post,rna_epithelial_tumour,0.5439197326844193
HCC22-088-P6-S2_D,P6,post,score_B_cell_activity,0.36401445596799453
HCC22-088-P6-S2_D,P6,post,score_Myeloid_inflammation,0.3027150675671324
HCC22-088-P6-S2_D,P6,post,score_EMT,0.14134610257084948
HCC22-088-P6-S2_D,P6,post,score_Interferon_response,0.10456365643716076
HCC22-088-P6-S2_D,P6,post,score_Cytotoxicity,0.09950813949962078
HCC22-088-P6-S2_D,P6,post,score_T_cell_activity,0.08742060163047186
HCC22-088-P6-S2_D,P6,post,rna_T_cells,0.05862763881470901
HCC22-088-P6-S2_D,P6,post,score_Angiogenesis,0.05332710157286328
HCC22-088-P6-S2_D,P6,post,score_Proliferation,0.02231451523875983
HCC22-088-P6-S2_D,P6,post,score_Hypoxia,0.019624745684362434
