sample,marker,state,hotspot_delta
HCC22-088-P4-S2,EPCAM,epithelial_tumour,0.05247195596174051
HCC22-088-P5-S1,EPCAM,T_cells,0.011855037358633495
HCC22-088-P5-S1,EPCAM,B_cells,-0.0011750797687115969
HCC22-088-P5-S1,EPCAM,myeloid,0.04767165290458047
HCC22-088-P5-S1,EPCAM,fibroblast,-0.037672015800080616
HCC22-088-P5-S1,EPCAM,endothelial,-0.0032176205932121157
HCC22-088-P5-S1,EPCAM,epithelial_tumour,0.015652000392974347
HCC22-088-P5-S2,EPCAM,T_cells,-0.0004059096381475464
HCC22-088-P5-S2,EPCAM,B_cells,0.003953609727550961
HCC22-088-P5-S2,EPCAM,myeloid,0.012963212608174915
HCC22-088-P5-S2,EPCAM,fibroblast,-0.017801615485097178
HCC22-088-P5-S2,EPCAM,endothelial,-0.0004705854966777154
HCC22-088-P5-S2,EPCAM,epithelial_tumour,0.011781879668761402
HCC22-088-P6-S1,EPCAM,T_cells,-0.0024058483339858454
HCC22-088-P6-S1,EPCAM,B_cells,-3.091907969383738e-05
HCC22-088-P6-S1,EPCAM,myeloid,0.003852505829089803
HCC22-088-P6-S1,EPCAM,fibroblast,0.013718542754592833
HCC22-088-P6-S1,EPCAM,endothelial,-0.02489674343666471
HCC22-088-P6-S1,EPCAM,epithelial_tumour,0.014307916812116309
HCC22-088-P6-S2_D,EPCAM,T_cells,0.0013342995302360423
HCC22-088-P6-S2_D,EPCAM,B_cells,0.007796526712517359
HCC22-088-P6-S2_D,EPCAM,myeloid,0.00602902067006067
HCC22-088-P6-S2_D,EPCAM,fibroblast,-0.046623025703013465
HCC22-088-P6-S2_D,EPCAM,endothelial,0.001571805866766543
HCC22-088-P6-S2_D,EPCAM,epithelial_tumour,0.03325834467692472
HCC22-088-P1-S1,ACTA2,T_cells,-0.00228499773213103
HCC22-088-P1-S1,ACTA2,B_cells,-0.026391615172580984
HCC22-088-P1-S1,ACTA2,myeloid,-0.020280822748982796
