sample,patient,treatment,ligand,receptor,category,interface_score,ref_score,n_interface
HCC22-088-P2-S2,P2,post,MIF,CD74,Immune->Tumour,1.2729642,2.4468443,206
HCC22-088-P2-S2,P2,post,CD274,PDCD1,Immune->Immune(checkpoint),0.0,0.0,206
HCC22-088-P2-S2,P2,post,LGALS9,HAVCR2,Immune->Immune(checkpoint),0.0,0.019301087,206
HCC22-088-P2-S2,P2,post,CD40LG,CD40,Immune->Immune,0.0,0.009924299,206
HCC22-088-P2-S2,P2,post,MDK,LRP1,Tumour->Immune,2.2430058,2.5535204,206
HCC22-088-P2-S2,P2,post,MDK,ITGA6,Tumour->Immune,0.90180224,1.3119432,206
HCC22-088-P2-S2,P2,post,TGFB1,TGFBR1,Tumour->Immune,0.06405532,0.050916795,206
HCC22-088-P2-S2,P2,post,VEGFA,KDR,Tumour->Immune,0.074806295,0.19283868,206
HCC22-088-P2-S2,P2,post,VEGFA,FLT1,Tumour->Immune,0.13987598,0.0,206
HCC22-088-P2-S2,P2,post,AREG,EGFR,Tumour->Immune,0.023253154,0.11447641,206
HCC22-088-P2-S2,P2,post,HBEGF,EGFR,Tumour->Immune,0.056063816,0.23743854,206
HCC22-088-P2-S2,P2,post,CXCL12,CXCR4,Tumour->Immune,1.5304465,0.21981683,206
HCC22-088-P2-S2,P2,post,CSF1,CSF1R,Tumour->Immune(myeloid),0.13370904,0.5572824,206
HCC22-088-P2-S2,P2,post,PDGFB,PDGFRB,Tumour->Stroma,0.58842367,0.6363057,206
HCC22-088-P2-S2,P2,post,FGF2,FGFR1,Tumour->Stroma,0.29937986,0.21333164,206
HCC22-088-P2-S2,P2,post,COL1A1,SDC1,Stroma->Tumour,2.9480786,4.18633,206
HCC22-088-P3-S2,P3,post,CXCL10,CXCR3,Immune->Tumour,0.0,0.032654416,43
HCC22-088-P3-S2,P3,post,CXCL9,CXCR3,Immune->Tumour,0.0,0.03424428,43
HCC22-088-P3-S2,P3,post,CXCL11,CXCR3,Immune->Tumour,0.0,0.016379893,43
HCC22-088-P3-S2,P3,post,CCL5,CCR5,Immune->Tumour,0.43701342,0.18297003,43
HCC22-088-P3-S2,P3,post,CCL2,CCR2,Immune->Tumour,0.0,0.100028194,43
HCC22-088-P3-S2,P3,post,CCL3,CCR1,Immune->Tumour,0.0,0.12896384,43
HCC22-088-P3-S2,P3,post,TNF,TNFRSF1A,Immune->Tumour,2.0567155,0.59189296,43
HCC22-088-P3-S2,P3,post,IL1B,IL1R1,Immune->Tumour,1.2573519,1.4771291,43
HCC22-088-P3-S2,P3,post,IFNG,IFNGR1,Immune->Tumour,0.0,0.36324513,43
HCC22-088-P3-S2,P3,post,CSF1,CSF1R,Immune->Tumour,3.7921553,1.9392911,43
HCC22-088-P3-S2,P3,post,MIF,CD74,Immune->Tumour,10.664317,5.928442,43
HCC22-088-P3-S2,P3,post,CD274,PDCD1,Immune->Immune(checkpoint),0.0,0.034843363,43
HCC22-088-P3-S2,P3,post,LGALS9,HAVCR2,Immune->Immune(checkpoint),1.6356834,0.26775154,43
HCC22-088-P3-S2,P3,post,CD40LG,CD40,Immune->Immune,0.0,0.11207742,43
HCC22-088-P3-S2,P3,post,MDK,LRP1,Tumour->Immune,20.533312,15.56719,43
HCC22-088-P3-S2,P3,post,MDK,ITGA6,Tumour->Immune,9.158565,10.687932,43
HCC22-088-P3-S2,P3,post,TGFB1,TGFBR1,Tumour->Immune,3.2969882,0.867162,43
HCC22-088-P3-S2,P3,post,VEGFA,KDR,Tumour->Immune,4.629698,3.6791053,43
HCC22-088-P3-S2,P3,post,VEGFA,FLT1,Tumour->Immune,4.9878078,1.9616773,43
HCC22-088-P3-S2,P3,post,AREG,EGFR,Tumour->Immune,1.1311272,0.527463,43
HCC22-088-P3-S2,P3,post,HBEGF,EGFR,Tumour->Immune,2.2669826,0.93683535,43
HCC22-088-P3-S2,P3,post,CXCL12,CXCR4,Tumour->Immune,10.061908,6.2206435,43
HCC22-088-P3-S2,P3,post,CSF1,CSF1R,Tumour->Immune(myeloid),3.0887506,1.9392911,43
HCC22-088-P3-S2,P3,post,PDGFB,PDGFRB,Tumour->Stroma,9.881997,2.186554,43
HCC22-088-P3-S2,P3,post,FGF2,FGFR1,Tumour->Stroma,1.9126824,0.9518341,43
HCC22-088-P3-S2,P3,post,COL1A1,SDC1,Stroma->Tumour,5.5738335,10.119723,43
HCC22-088-P4-S1,P4,pre,CXCL10,CXCR3,Immune->Tumour,0.0,0.0,211
HCC22-088-P4-S1,P4,pre,CXCL9,CXCR3,Immune->Tumour,0.0,0.0,211
HCC22-088-P4-S1,P4,pre,CXCL11,CXCR3,Immune->Tumour,0.0,0.0,211
HCC22-088-P4-S1,P4,pre,CCL5,CCR5,Immune->Tumour,0.0,0.0,211
HCC22-088-P4-S1,P4,pre,CCL2,CCR2,Immune->Tumour,0.0,0.0,211
HCC22-088-P4-S1,P4,pre,CCL3,CCR1,Immune->Tumour,0.0,0.0,211
HCC22-088-P4-S1,P4,pre,TNF,TNFRSF1A,Immune->Tumour,0.0,0.0,211
HCC22-088-P4-S1,P4,pre,IL1B,IL1R1,Immune->Tumour,0.0,0.0,211
HCC22-088-P4-S1,P4,pre,IFNG,IFNGR1,Immune->Tumour,0.0,0.0,211
HCC22-088-P4-S1,P4,pre,CSF1,CSF1R,Immune->Tumour,0.04260821,0.0,211
HCC22-088-P4-S1,P4,pre,MIF,CD74,Immune->Tumour,0.6948246,0.0,211
HCC22-088-P4-S1,P4,pre,CD274,PDCD1,Immune->Immune(checkpoint),0.0,0.0,211
HCC22-088-P4-S1,P4,pre,LGALS9,HAVCR2,Immune->Immune(checkpoint),0.022042649,0.0,211
HCC22-088-P4-S1,P4,pre,CD40LG,CD40,Immune->Immune,0.0,0.0,211
HCC22-088-P4-S1,P4,pre,MDK,LRP1,Tumour->Immune,0.8257254,0.0,211
HCC22-088-P4-S1,P4,pre,MDK,ITGA6,Tumour->Immune,0.036164265,0.0,211
HCC22-088-P4-S1,P4,pre,TGFB1,TGFBR1,Tumour->Immune,0.07765757,0.0,211
HCC22-088-P4-S1,P4,pre,VEGFA,KDR,Tumour->Immune,0.022425465,0.04389198,211
HCC22-088-P4-S1,P4,pre,VEGFA,FLT1,Tumour->Immune,0.04526322,0.0670948,211
HCC22-088-P4-S1,P4,pre,AREG,EGFR,Tumour->Immune,0.0,0.0,211
HCC22-088-P4-S1,P4,pre,HBEGF,EGFR,Tumour->Immune,0.0,0.0,211
HCC22-088-P4-S1,P4,pre,CXCL12,CXCR4,Tumour->Immune,0.21745706,1.0503392,211
HCC22-088-P4-S1,P4,pre,CSF1,CSF1R,Tumour->Immune(myeloid),0.30364466,0.0,211
HCC22-088-P4-S1,P4,pre,PDGFB,PDGFRB,Tumour->Stroma,0.12920542,0.33784458,211
HCC22-088-P4-S1,P4,pre,FGF2,FGFR1,Tumour->Stroma,0.082421765,0.0,211
HCC22-088-P4-S1,P4,pre,COL1A1,SDC1,Stroma->Tumour,10.544294,8.837282,211
HCC22-088-P4-S2,P4,post,CXCL10,CXCR3,Immune->Tumour,0.0,0.0091856755,106
HCC22-088-P4-S2,P4,post,CXCL9,CXCR3,Immune->Tumour,0.0,0.003080621,106
HCC22-088-P4-S2,P4,post,CXCL11,CXCR3,Immune->Tumour,0.0,0.0028761711,106
HCC22-088-P4-S2,P4,post,CCL5,CCR5,Immune->Tumour,0.0,0.023205215,106
HCC22-088-P4-S2,P4,post,CCL2,CCR2,Immune->Tumour,0.0,0.042986304,106
