gene,mean,median,I_Q25,count
CD46,0.15516719456403402,0.1289469644210905,0.1156784810150231,14
FTH1,0.15495971986514626,0.1447274567014723,0.08817603278416951,14
SERPINE1,0.15482250687377544,0.13710099866270428,0.06695404237798999,14
B2M,0.1543024162633198,0.1728774291213567,0.07980322206667637,14
SCNN1A,0.15338826244149065,0.10666795345256999,0.03783745170590312,14
PLEKHF2,0.15332577102923997,0.1484365405250897,0.08620949903539994,14
MYB,0.15315887971999778,0.10045711698486161,0.07764919186257052,14
VAV3,0.15315082038663505,0.12530075406697622,0.07915138340075409,14
CA2,0.1530076742670456,0.14547174934468096,0.0511907817024379,14
RNASE1,0.15243896306138768,0.17533289787759107,0.050377853615800036,14
LCP1,0.15115900615302819,0.12023232308292336,0.043344879878379546,14
IRX5,0.15092978222818557,0.1698414033616433,0.057738583074402536,14
CTSZ,0.14885350909339054,0.11884434531991508,0.03741802299566331,14
IFI6,0.14870722691136354,0.10145917878067748,0.06892004250153329,14
KCTD3,0.14867556456376316,0.10776961234894478,0.0944707564310997,14
PERP,0.1486187470895682,0.13360305920136256,0.08125898586902036,14
HMGCS2,0.1485855442460947,0.09972524425057569,0.04887095770202494,14
HSPA1B,0.1481016147830208,0.1383756822757456,0.04970356050655781,14
HSPB1,0.14799366769658234,0.13764379685527245,0.09490315845549491,14
EPPK1,0.1479482794212545,0.15180832767046937,0.05002846536929975,14
TPSG1,0.1471050928417849,0.11677547524383497,0.04124825260302389,14
PLIN4,0.14686868126129732,0.06347354198275683,0.04571372946240154,14
C1S,0.14647116050073786,0.1203811724297256,0.08391854158617429,14
MARCKSL1,0.14640100440278722,0.14937345204350583,0.05119709815786441,14
SAT1,0.14633904162578976,0.12541571332137386,0.08691442393150955,14
S100A11,0.14606706164956496,0.13225750380283782,0.09071880914558544,14
ENAH,0.14588050428044316,0.1601757774465737,0.09691211867211623,14
CDH1,0.14575271618170732,0.0803625206034826,0.04519873939438192,14
FLNB,0.1456021900623894,0.10952977149599563,0.06716552490007685,14
S100A9,0.14539020274202555,0.13810180743581058,0.05093739756333926,14
IGFBP5,0.14509114849443253,0.09067289418457185,0.06913038896911014,14
ADIPOQ,0.1446502177279867,0.06630951349746424,0.03355606543462261,14
KRT5,0.14412481953645354,0.13334050716875595,0.004981212048020135,14
ARHGEF38,0.14407429286288512,0.11992898563324772,0.06625669942379976,14
THSD4,0.14394569619551634,0.12526075235678086,0.05868129035863061,14
TUFT1,0.14385891978552404,0.10569054657299592,0.06899254340401462,14
NEDD4L,0.14364497980812932,0.1381737906362054,0.08891486116275181,14
PRLR,0.14361973965515223,0.10547965351482111,0.05112860565861282,14
MT-ND1,0.1433192764925268,0.10596388593501976,0.07316525182165698,14
TFAP2A,0.14281601206093544,0.12348364447885199,0.03938747184680318,14
JUP,0.1425221850597002,0.1436627617020914,0.08385750225791408,14
MAL2,0.14238011220650165,0.10355065809214906,0.055136512496755705,14
CCND1,0.1419924272455528,0.08874548197639215,0.04504493579444,14
LAPTM5,0.14128447604949215,0.11315750029780387,0.026144309231585356,14
ANXA2,0.141243946572043,0.11994166505344953,0.055193933022971424,14
TPM2,0.14096983265588334,0.12042755960115266,0.09202124374636762,14
SHROOM3,0.14083659909163546,0.13491609126614523,0.0699717773920098,14
FOS,0.14069558258461268,0.1594031127915864,0.06726014245798234,14
CD163,0.1405278698384045,0.15019143769861135,0.06501355320705891,14
COL11A1,0.14011904369710473,0.11728245945861221,0.020179166874104575,14
SELENOP,0.13993132874235328,0.12492048986554008,0.07300170229472784,14
SCD,0.1395730089772444,0.11023950427177415,0.05747648027255911,14
UGCG,0.1393734667412071,0.11531182977968923,0.03985457256319731,14
THBS2,0.1390930457567928,0.12302798328130465,0.06708564492999226,14
MCL1,0.1390763109736067,0.12829902377903793,0.10526013853692634,14
HSPA8,0.138514332491146,0.10715796366411295,0.08292120936658451,14
RABEP1,0.1369962726266195,0.12921011113555106,0.06946981113899124,14
KRT23,0.13667493153053117,0.10274225648481321,0.06226188981839181,14
IRX3,0.1366679345498951,0.14206535693204095,0.05997133607632882,14
ERBB2,0.1364615143472232,0.14072650476252146,0.09889370877586519,14
RACK1,0.13579138408860264,0.09854100807936647,0.05555503631909517,14
GPX3,0.1356653854276006,0.11820456198518811,0.08842453854568566,14
ITGAX,0.1351171708585193,0.0842660515647996,0.017422747377627903,14
PIGR,0.13484369111903838,0.11469110433873422,0.01659645452498016,14
TSPAN13,0.13472429134808223,0.12022836450290042,0.07775010190015035,14
FASN,0.1345222469179733,0.11886409298051331,0.03907566749960921,14
ADAM12,0.1344172143188825,0.09841181740614736,0.03903982800832933,14
SLC4A7,0.13382659683901915,0.08868002167577416,0.051892311801571805,14
TSPAN1,0.1337319871417502,0.08796588587713117,0.01803061622864232,14
EZR,0.13369762385260417,0.08953169438945124,0.06575735137697392,14
CST3,0.13306006424571837,0.15095753448146948,0.06867042093428259,14
LGALS1,0.1326085174097951,0.10473232891070389,0.05456066805361051,14
PPDPF,0.13235742606622036,0.09857959326430973,0.07644465786333612,14
ADIRF,0.13214013754206225,0.11649695255189507,0.0598735403600193,14
COL10A1,0.1320394097413091,0.09635795578485581,0.050860907573594266,14
CD44,0.1319639050529334,0.1358666061627406,0.10178566126524646,14
MSI2,0.13193101637071608,0.09889691484529847,0.06612201018435138,14
UBA52,0.13174663010265067,0.10009172251923146,0.061620259409401454,14
GPX4,0.13121258813652117,0.11798382537356586,0.08335059876262145,14
MAT2A,0.13119967812811437,0.11106904172741427,0.06823553543484234,14
CTSD,0.13117470488513944,0.0894299621917698,0.047057115867542944,14
C1orf21,0.13107703004281152,0.12369879008188805,0.06625093446061733,14
S100A14,0.13098370897466668,0.0905283641855344,0.04102709042450709,14
TCEAL4,0.13065991738907765,0.09843185758865029,0.0446043289985248,14
CLDN7,0.13048744059794376,0.10811895533642611,0.06054480307893372,14
RAB27B,0.1301966699164413,0.0959643944795884,0.052455475912652094,14
S100P,0.1301310440941065,0.034762020290678604,0.0028660899176253486,14
ESRP1,0.1300190088311026,0.09986850351877999,0.04109828267922179,14
MDK,0.12996824896180884,0.11180503013266632,0.05250742672915574,14
TMSB10,0.12990297310270363,0.12144740210475492,0.07471243968770741,14
MYH11,0.12946293763045988,0.1271716066366364,0.07211260295121537,14
SCCPDH,0.12945335303757916,0.1324877043109903,0.05947479786856788,14
CILP,0.12943985929774954,0.10085373613273135,0.04314147630644721,14
CXCL12,0.12942551261133925,0.13311096019031293,0.07317797810892748,14
HSP90AA1,0.12933369142099943,0.12176044241513337,0.08356543840336697,14
RUNX1,0.12930662543401583,0.11132995130029202,0.048818724113406535,14
MBOAT1,0.12915958358483684,0.09189052755430428,0.05567984247110708,14
H3F3A,0.12914659941867282,0.1101448590489506,0.07455519230980584,14
CHCHD2,0.12905535266041251,0.11659542274409664,0.058686250992905156,14
GABRP,0.1288341745035933,0.08709614384869552,0.012394529913457093,14
TNC,0.1285561368880705,0.12724077793201977,0.03867357505849248,14
WDR26,0.12854863382355347,0.13721397782978825,0.10603706216802464,14
MDM4,0.12839320952754107,0.12247909559302958,0.09434011187674947,14
SEMA3C,0.1283644321169253,0.10293964055723194,0.054444659846017804,14
ERBB4,0.12826262874338515,0.08145263939885994,0.033291242603552415,14
SKIL,0.12802762301200596,0.1219816421276734,0.09546530718396032,14
ATF3,0.12781757649027517,0.08389771264868912,0.048949045429700494,14
TIMP2,0.1277797846400868,0.141824761969372,0.070123868731848,14
SIAH2,0.12773862501992037,0.08736173881752088,0.07510014925617366,14
HNRNPA2B1,0.12745718465249362,0.14001331965606356,0.08437150055380391,14
CD68,0.12741906410542633,0.09631697155472299,0.024024455933054335,14
ARHGAP35,0.12732177400790437,0.1157152426781876,0.08445967054344752,14
WNK4,0.12717575746425985,0.09896532451609472,0.045846820556802594,14
